0;('Обязанности', 'Желательно')
1;('Обязанности', 'Условия')
2;
3;('Обязанности', 'Условия')
4;('ищем', 'Условия')
5;('ищет', 'Условия')
6;('Обязанности', 'Условия')
7;('Обязанности', 'Условия')
8;
9;('Обязанности', 'Условия')
10;('Обязанности', 'Желательно')
11;('Обязанности', 'Условия')
12;
13;('Обязанности', 'желательно')
14;
15;('Обязанности', 'Условия')
16;
17;('Обязанности', 'Условия')
18;('Обязанности', 'Условия')
19;
20;
21;('ищем', 'Условия')
22;('Требования', 'Условия')
23;
24;('Обязанности', 'Условия')
25;('Обязанности', 'Условия')
26;('Обязанности', 'желательно')
27;
28;('Обязанности', 'Условия')
29;
30;
31;('обязанности', 'Условия')
32;
33;
34;('ищет', 'Условия')
35;('обязанности', 'Условия')
36;
37;('Требования', 'Условия')
38;('Обязанности', 'желательно')('навыки', 'Условия')
39;
40;('Обязанности', 'Условия')
41;('Обязанности', 'Условия')
42;('Обязанности', 'Условия')
43;('Обязанности', 'Условия')
44;('Обязанности', 'Условия')
45;('Обязанности', 'Условия')
46;('Обязанности', 'Условия')
47;('Обязанности', 'Условия')
48;
49;('Обязанности', 'Условия')
50;
51;
52;
53;
54;('Требования', 'Условия')
55;('Обязанности', 'Условия')
56;('ищем', 'Условия')
57;('Обязанности', 'Условия')
58;('Обязанности', 'Условия')
59;
60;('ищем', 'Условия')
61;('Обязанности', 'Условия')
62;
63;('Обязанности', 'Условия')
64;
65;('Обязанности', 'Условия')
66;('Обязанности', 'Условия')
67;('Обязанности', 'Условия')
68;('Обязанности', 'Условия')
69;('Обязанности', 'Условия')
70;
71;('Обязанности', 'Условия')
72;('ищем', 'желательно')('требования', 'Желательно')
73;('Требования', 'Условия')
74;('Обязанности', 'Условия')
75;
76;('Обязанности', 'Условия')
77;('Требования', 'желательно')
78;('Требования', 'желательно')
79;('Обязанности', 'желательно')('Навыки', 'Условия')
80;
81;('ищем', 'Условия')
82;('Требования', 'Условия')
83;('ищем', 'желательно')
84;('Требования', 'Условия')
85;
86;('Обязанности', 'Условия')
87;('ищет', 'Условия')
88;('обязанности', 'Условия')
89;('ищем', 'Условия')
90;('Обязанности', 'Условия')
91;('Обязанности', 'условия')
92;('ИЩЕМ', 'Условия')
93;('ищем', 'Условия')
94;('ищет', 'Желательно')
95;
96;('Обязанности', 'желательно')('навыки', 'Условия')
